time,numberOfDiscoveredNodes,percentage
3600,0,0.0
7200,0,0.0
10800,0,0.0
14400,0,0.0
18000,0,0.0
21600,1,1.0
25200,1,1.0
28800,1,1.0
32400,1,1.0
36000,1,1.0
39600,1,1.0
43200,1,1.0
46800,1,1.0
50400,1,1.0
54000,1,1.0
57600,1,1.0
61200,1,1.0
64800,1,1.0
68400,1,1.0
72000,2,2.0
75600,2,2.0
79200,2,2.0
82800,2,2.0
86400,4,4.0
90000,4,4.0
93600,5,5.0
97200,5,5.0
100800,5,5.0
104400,5,5.0
108000,5,5.0
111600,5,5.0
115200,5,5.0
118800,5,5.0
122400,5,5.0
126000,5,5.0
129600,5,5.0
133200,5,5.0
136800,6,6.0
140400,6,6.0
144000,7,7.000000000000001
147600,7,7.000000000000001
151200,8,8.0
154800,8,8.0
158400,8,8.0
162000,8,8.0
165600,8,8.0
169200,12,12.0
172800,12,12.0
176400,12,12.0
180000,12,12.0
183600,12,12.0
187200,12,12.0
190800,12,12.0
194400,12,12.0
198000,12,12.0
201600,12,12.0
205200,12,12.0
208800,12,12.0
212400,12,12.0
216000,12,12.0
219600,12,12.0
223200,12,12.0
226800,12,12.0
230400,17,17.0
234000,18,18.0
237600,19,19.0
241200,19,19.0
244800,19,19.0
248400,19,19.0
252000,19,19.0
255600,19,19.0
259200,19,19.0
262800,19,19.0
266400,19,19.0
270000,19,19.0
273600,19,19.0
277200,20,20.0
280800,20,20.0
284400,20,20.0
288000,20,20.0
291600,20,20.0
295200,20,20.0
298800,20,20.0
302400,20,20.0
306000,20,20.0
309600,20,20.0
313200,21,21.0
316800,21,21.0
320400,21,21.0
324000,21,21.0
327600,21,21.0
331200,21,21.0
334800,21,21.0
338400,21,21.0
342000,21,21.0
345600,21,21.0
349200,21,21.0
352800,21,21.0
356400,21,21.0
360000,21,21.0
363600,21,21.0
367200,21,21.0
370800,21,21.0
374400,21,21.0
378000,23,23.0
381600,25,25.0
385200,26,26.0
388800,26,26.0
392400,26,26.0
396000,26,26.0
399600,26,26.0
403200,27,27.0
406800,27,27.0
410400,27,27.0
414000,27,27.0
417600,28,28.000000000000004
421200,31,31.0
424800,32,32.0
428400,32,32.0
432000,33,33.0
435600,33,33.0
439200,33,33.0
442800,34,34.0
446400,34,34.0
450000,34,34.0
453600,34,34.0
457200,34,34.0
460800,34,34.0
464400,34,34.0
468000,34,34.0
471600,34,34.0
475200,34,34.0
478800,37,37.0
482400,37,37.0
486000,37,37.0
489600,37,37.0
493200,37,37.0
496800,37,37.0
500400,37,37.0
504000,37,37.0
507600,37,37.0
511200,37,37.0
514800,37,37.0
518400,37,37.0
522000,37,37.0
525600,37,37.0
529200,37,37.0
532800,37,37.0
536400,37,37.0
540000,38,38.0
543600,38,38.0
547200,39,39.0
550800,39,39.0
554400,39,39.0
558000,39,39.0
561600,39,39.0
565200,39,39.0
568800,39,39.0
572400,39,39.0
576000,39,39.0
579600,39,39.0
583200,39,39.0
586800,39,39.0
590400,39,39.0
594000,39,39.0
597600,42,42.0
601200,42,42.0
604800,43,43.0
604800,43,43.0
