time,numberOfDiscoveredNodes,percentage
3600,1,1.0
7200,1,1.0
10800,1,1.0
14400,1,1.0
18000,1,1.0
21600,1,1.0
25200,1,1.0
28800,1,1.0
32400,1,1.0
36000,1,1.0
39600,1,1.0
43200,1,1.0
46800,1,1.0
50400,1,1.0
54000,1,1.0
57600,1,1.0
61200,1,1.0
64800,1,1.0
68400,1,1.0
72000,1,1.0
75600,1,1.0
79200,1,1.0
82800,1,1.0
86400,1,1.0
90000,1,1.0
93600,1,1.0
97200,1,1.0
100800,1,1.0
104400,1,1.0
108000,1,1.0
111600,1,1.0
115200,1,1.0
118800,1,1.0
122400,1,1.0
126000,1,1.0
129600,2,2.0
133200,5,5.0
136800,5,5.0
140400,5,5.0
144000,5,5.0
147600,5,5.0
151200,5,5.0
154800,9,9.0
158400,11,11.0
162000,11,11.0
165600,11,11.0
169200,11,11.0
172800,11,11.0
176400,11,11.0
180000,11,11.0
183600,11,11.0
187200,11,11.0
190800,11,11.0
194400,13,13.0
198000,14,14.000000000000002
201600,16,16.0
205200,16,16.0
208800,17,17.0
212400,18,18.0
216000,18,18.0
219600,18,18.0
223200,18,18.0
226800,18,18.0
230400,18,18.0
234000,18,18.0
237600,18,18.0
241200,18,18.0
244800,18,18.0
248400,18,18.0
252000,18,18.0
255600,18,18.0
259200,18,18.0
262800,22,22.0
266400,22,22.0
270000,22,22.0
273600,22,22.0
277200,22,22.0
280800,22,22.0
284400,22,22.0
288000,22,22.0
291600,22,22.0
295200,22,22.0
298800,22,22.0
302400,22,22.0
306000,22,22.0
309600,22,22.0
313200,22,22.0
316800,22,22.0
320400,22,22.0
324000,22,22.0
327600,23,23.0
331200,26,26.0
334800,26,26.0
338400,26,26.0
342000,26,26.0
345600,27,27.0
349200,27,27.0
352800,27,27.0
356400,32,32.0
360000,32,32.0
363600,32,32.0
367200,34,34.0
370800,34,34.0
374400,34,34.0
378000,34,34.0
381600,34,34.0
385200,34,34.0
388800,34,34.0
392400,34,34.0
396000,34,34.0
399600,34,34.0
403200,34,34.0
406800,36,36.0
410400,36,36.0
414000,36,36.0
417600,36,36.0
421200,36,36.0
424800,36,36.0
428400,36,36.0
432000,36,36.0
435600,36,36.0
439200,36,36.0
442800,36,36.0
446400,36,36.0
450000,36,36.0
453600,36,36.0
457200,36,36.0
460800,36,36.0
464400,36,36.0
468000,36,36.0
471600,36,36.0
475200,36,36.0
478800,36,36.0
482400,36,36.0
486000,36,36.0
489600,36,36.0
493200,36,36.0
496800,36,36.0
500400,36,36.0
504000,36,36.0
507600,36,36.0
511200,36,36.0
514800,36,36.0
518400,36,36.0
522000,36,36.0
525600,36,36.0
529200,36,36.0
532800,36,36.0
536400,36,36.0
540000,36,36.0
543600,36,36.0
547200,36,36.0
550800,36,36.0
554400,36,36.0
558000,36,36.0
561600,36,36.0
565200,37,37.0
568800,38,38.0
572400,42,42.0
576000,42,42.0
579600,42,42.0
583200,42,42.0
586800,43,43.0
590400,43,43.0
594000,43,43.0
597600,43,43.0
601200,43,43.0
604800,43,43.0
604800,43,43.0
