filename,Agent_movementModel,Target_movementModel,LevyFlight.alpha,min_coverage,avg_coverage,max_coverage,time_to_25_percent,time_to_50_percent,time_to_75_percent,time_to_90_percent
RandomSearch-Agent_movementModel@BrownianMotion-Target_movementModel@StationaryClustered-LevyFlight.alpha@0.25_SearchingCoverageOverTimeReport,BrownianMotion,StationaryClustered,0.25,3.0,46.35502958579882,74.0,190800,252000,0,0
RandomSearch-Agent_movementModel@LevyFlight-Target_movementModel@StationaryClustered-LevyFlight.alpha@0.25_SearchingCoverageOverTimeReport,LevyFlight,StationaryClustered,0.25,3.0,53.16568047337278,79.0,97200,270000,478800,0
RandomSearch-Agent_movementModel@LevyFlight-Target_movementModel@StationaryClustered-LevyFlight.alpha@0.5_SearchingCoverageOverTimeReport,LevyFlight,StationaryClustered,0.5,10.0,78.6508875739645,94.0,14400,93600,172800,324000
RandomSearch-Agent_movementModel@LevyFlight-Target_movementModel@StationaryClustered-LevyFlight.alpha@0.75_SearchingCoverageOverTimeReport,LevyFlight,StationaryClustered,0.75,7.000000000000001,77.4733727810651,99.0,39600,104400,172800,313200
RandomSearch-Agent_movementModel@LevyFlight-Target_movementModel@StationaryClustered-LevyFlight.alpha@1.0_SearchingCoverageOverTimeReport,LevyFlight,StationaryClustered,1.0,1.0,67.22485207100591,88.0,43200,115200,313200,0
RandomSearch-Agent_movementModel@LevyFlight-Target_movementModel@StationaryClustered-LevyFlight.alpha@1.25_SearchingCoverageOverTimeReport,LevyFlight,StationaryClustered,1.25,10.0,71.9585798816568,98.0,46800,126000,226800,442800
RandomSearch-Agent_movementModel@LevyFlight-Target_movementModel@StationaryClustered-LevyFlight.alpha@1.5_SearchingCoverageOverTimeReport,LevyFlight,StationaryClustered,1.5,0.0,30.562130177514792,66.0,324000,403200,0,0
RandomSearch-Agent_movementModel@LevyFlight-Target_movementModel@StationaryClustered-LevyFlight.alpha@1.75_SearchingCoverageOverTimeReport,LevyFlight,StationaryClustered,1.75,0.0,3.7159763313609466,18.0,0,0,0,0
RandomSearch-Agent_movementModel@LevyFlight-Target_movementModel@StationaryClustered-LevyFlight.alpha@2.0_SearchingCoverageOverTimeReport,LevyFlight,StationaryClustered,2.0,1.0,21.988165680473372,43.0,331200,0,0,0
RandomSearch-Agent_movementModel@RandomWaypoint-Target_movementModel@StationaryClustered-LevyFlight.alpha@1.0_SearchingCoverageOverTimeReport,RandomWaypoint,StationaryClustered,1.0,8.0,84.66863905325444,98.0,18000,64800,111600,198000
