filename,Agent_movementModel,Target_movementModel,LevyFlight.alpha,min_coverage,avg_coverage,max_coverage,time_to_25_percent,time_to_50_percent,time_to_75_percent,time_to_90_percent
RandomSearch-Agent_movementModel@BrownianMotion-Target_movementModel@StationaryClustered-LevyFlight.alpha@0.25_SearchingCoverageOverTimeReport,BrownianMotion,StationaryClustered,0.25,5.0,50.248520710059175,67.0,82800,226800,0,0
RandomSearch-Agent_movementModel@LevyFlight-Target_movementModel@StationaryClustered-LevyFlight.alpha@0.25_SearchingCoverageOverTimeReport,LevyFlight,StationaryClustered,0.25,7.000000000000001,85.33136094674556,99.0,25200,46800,151200,205200
RandomSearch-Agent_movementModel@LevyFlight-Target_movementModel@StationaryClustered-LevyFlight.alpha@0.5_SearchingCoverageOverTimeReport,LevyFlight,StationaryClustered,0.5,0.0,79.6923076923077,100.0,50400,108000,172800,248400
RandomSearch-Agent_movementModel@LevyFlight-Target_movementModel@StationaryClustered-LevyFlight.alpha@0.75_SearchingCoverageOverTimeReport,LevyFlight,StationaryClustered,0.75,0.0,73.32544378698225,95.0,43200,147600,205200,385200
RandomSearch-Agent_movementModel@LevyFlight-Target_movementModel@StationaryClustered-LevyFlight.alpha@1.0_SearchingCoverageOverTimeReport,LevyFlight,StationaryClustered,1.0,0.0,68.09467455621302,89.0,50400,154800,212400,0
RandomSearch-Agent_movementModel@LevyFlight-Target_movementModel@StationaryClustered-LevyFlight.alpha@1.25_SearchingCoverageOverTimeReport,LevyFlight,StationaryClustered,1.25,1.0,36.917159763313606,82.0,241200,378000,590400,0
RandomSearch-Agent_movementModel@LevyFlight-Target_movementModel@StationaryClustered-LevyFlight.alpha@1.5_SearchingCoverageOverTimeReport,LevyFlight,StationaryClustered,1.5,0.0,49.59171597633136,62.0,25200,259200,0,0
RandomSearch-Agent_movementModel@LevyFlight-Target_movementModel@StationaryClustered-LevyFlight.alpha@1.75_SearchingCoverageOverTimeReport,LevyFlight,StationaryClustered,1.75,1.0,42.9112426035503,71.0,154800,392400,0,0
RandomSearch-Agent_movementModel@LevyFlight-Target_movementModel@StationaryClustered-LevyFlight.alpha@2.0_SearchingCoverageOverTimeReport,LevyFlight,StationaryClustered,2.0,1.0,33.662721893491124,45.0,122400,0,0,0
RandomSearch-Agent_movementModel@RandomWaypoint-Target_movementModel@StationaryClustered-LevyFlight.alpha@1.0_SearchingCoverageOverTimeReport,RandomWaypoint,StationaryClustered,1.0,8.0,77.28402366863905,96.0,25200,108000,201600,331200
