filename,Agent_movementModel,Target_movementModel,LevyFlight.alpha,min_coverage,avg_coverage,max_coverage,time_to_25_percent,time_to_50_percent,time_to_75_percent,time_to_90_percent
RandomSearch-Agent_movementModel@BrownianMotion-Target_movementModel@StationaryClustered-LevyFlight.alpha@0.25_SearchingCoverageOverTimeReport,BrownianMotion,StationaryClustered,0.25,0.0,48.35502958579882,87.0,68400,388800,424800,0
RandomSearch-Agent_movementModel@LevyFlight-Target_movementModel@StationaryClustered-LevyFlight.alpha@0.25_SearchingCoverageOverTimeReport,LevyFlight,StationaryClustered,0.25,0.0,72.0414201183432,98.0,75600,133200,216000,374400
RandomSearch-Agent_movementModel@LevyFlight-Target_movementModel@StationaryClustered-LevyFlight.alpha@0.5_SearchingCoverageOverTimeReport,LevyFlight,StationaryClustered,0.5,0.0,67.42603550295858,86.0,57600,97200,284400,0
RandomSearch-Agent_movementModel@LevyFlight-Target_movementModel@StationaryClustered-LevyFlight.alpha@0.75_SearchingCoverageOverTimeReport,LevyFlight,StationaryClustered,0.75,8.0,70.63905325443787,96.0,64800,115200,183600,583200
RandomSearch-Agent_movementModel@LevyFlight-Target_movementModel@StationaryClustered-LevyFlight.alpha@1.0_SearchingCoverageOverTimeReport,LevyFlight,StationaryClustered,1.0,5.0,57.396449704142015,91.0,100800,226800,385200,586800
RandomSearch-Agent_movementModel@LevyFlight-Target_movementModel@StationaryClustered-LevyFlight.alpha@1.25_SearchingCoverageOverTimeReport,LevyFlight,StationaryClustered,1.25,0.0,55.15976331360947,87.0,97200,241200,378000,0
RandomSearch-Agent_movementModel@LevyFlight-Target_movementModel@StationaryClustered-LevyFlight.alpha@1.5_SearchingCoverageOverTimeReport,LevyFlight,StationaryClustered,1.5,1.0,45.1301775147929,64.0,108000,230400,0,0
RandomSearch-Agent_movementModel@LevyFlight-Target_movementModel@StationaryClustered-LevyFlight.alpha@1.75_SearchingCoverageOverTimeReport,LevyFlight,StationaryClustered,1.75,0.0,21.70414201183432,37.0,338400,0,0,0
RandomSearch-Agent_movementModel@LevyFlight-Target_movementModel@StationaryClustered-LevyFlight.alpha@2.0_SearchingCoverageOverTimeReport,LevyFlight,StationaryClustered,2.0,0.0,25.579881656804734,47.0,237600,0,0,0
RandomSearch-Agent_movementModel@RandomWaypoint-Target_movementModel@StationaryClustered-LevyFlight.alpha@1.0_SearchingCoverageOverTimeReport,RandomWaypoint,StationaryClustered,1.0,1.0,71.98816568047337,86.0,32400,86400,187200,0
