filename,Agent_movementModel,Target_movementModel,LevyFlight.alpha,min_coverage,avg_coverage,max_coverage,time_to_25_percent,time_to_50_percent,time_to_75_percent,time_to_90_percent
RandomSearch-Agent_movementModel@BrownianMotion-Target_movementModel@StationaryClustered-LevyFlight.alpha@0.25_SearchingCoverageOverTimeReport,BrownianMotion,StationaryClustered,0.25,0.0,32.79289940828402,77.0,363600,417600,547200,0
RandomSearch-Agent_movementModel@LevyFlight-Target_movementModel@StationaryClustered-LevyFlight.alpha@0.25_SearchingCoverageOverTimeReport,LevyFlight,StationaryClustered,0.25,1.0,80.6508875739645,100.0,36000,72000,147600,302400
RandomSearch-Agent_movementModel@LevyFlight-Target_movementModel@StationaryClustered-LevyFlight.alpha@0.5_SearchingCoverageOverTimeReport,LevyFlight,StationaryClustered,0.5,0.0,81.13609467455622,98.0,28800,79200,187200,270000
RandomSearch-Agent_movementModel@LevyFlight-Target_movementModel@StationaryClustered-LevyFlight.alpha@0.75_SearchingCoverageOverTimeReport,LevyFlight,StationaryClustered,0.75,0.0,69.39644970414201,97.0,61200,147600,266400,486000
RandomSearch-Agent_movementModel@LevyFlight-Target_movementModel@StationaryClustered-LevyFlight.alpha@1.0_SearchingCoverageOverTimeReport,LevyFlight,StationaryClustered,1.0,1.0,72.19526627218934,91.0,21600,79200,291600,457200
RandomSearch-Agent_movementModel@LevyFlight-Target_movementModel@StationaryClustered-LevyFlight.alpha@1.25_SearchingCoverageOverTimeReport,LevyFlight,StationaryClustered,1.25,0.0,57.96449704142012,84.0,50400,162000,417600,0
RandomSearch-Agent_movementModel@LevyFlight-Target_movementModel@StationaryClustered-LevyFlight.alpha@1.5_SearchingCoverageOverTimeReport,LevyFlight,StationaryClustered,1.5,0.0,44.201183431952664,69.0,180000,284400,0,0
RandomSearch-Agent_movementModel@LevyFlight-Target_movementModel@StationaryClustered-LevyFlight.alpha@1.75_SearchingCoverageOverTimeReport,LevyFlight,StationaryClustered,1.75,0.0,37.887573964497044,65.0,172800,439200,0,0
RandomSearch-Agent_movementModel@LevyFlight-Target_movementModel@StationaryClustered-LevyFlight.alpha@2.0_SearchingCoverageOverTimeReport,LevyFlight,StationaryClustered,2.0,0.0,20.420118343195266,43.0,381600,0,0,0
RandomSearch-Agent_movementModel@RandomWaypoint-Target_movementModel@StationaryClustered-LevyFlight.alpha@1.0_SearchingCoverageOverTimeReport,RandomWaypoint,StationaryClustered,1.0,5.0,69.84615384615384,84.0,25200,79200,266400,0
