time,numberOfDiscoveredNodes,percentage
3600,0,0.0
7200,0,0.0
10800,3,3.0
14400,7,7.000000000000001
18000,12,12.0
21600,12,12.0
25200,12,12.0
28800,12,12.0
32400,12,12.0
36000,12,12.0
39600,12,12.0
43200,13,13.0
46800,13,13.0
50400,13,13.0
54000,13,13.0
57600,13,13.0
61200,13,13.0
64800,13,13.0
68400,13,13.0
72000,13,13.0
75600,14,14.000000000000002
79200,14,14.000000000000002
82800,19,19.0
86400,20,20.0
90000,20,20.0
93600,22,22.0
97200,23,23.0
100800,23,23.0
104400,23,23.0
108000,23,23.0
111600,23,23.0
115200,23,23.0
118800,23,23.0
122400,23,23.0
126000,31,31.0
129600,32,32.0
133200,32,32.0
136800,32,32.0
140400,32,32.0
144000,32,32.0
147600,32,32.0
151200,39,39.0
154800,39,39.0
158400,39,39.0
162000,39,39.0
165600,39,39.0
169200,42,42.0
172800,45,45.0
176400,47,47.0
180000,47,47.0
183600,48,48.0
187200,48,48.0
190800,48,48.0
194400,49,49.0
198000,53,53.0
201600,54,54.0
205200,55,55.00000000000001
208800,56,56.00000000000001
212400,57,56.99999999999999
216000,57,56.99999999999999
219600,58,57.99999999999999
223200,58,57.99999999999999
226800,58,57.99999999999999
230400,58,57.99999999999999
234000,58,57.99999999999999
237600,58,57.99999999999999
241200,58,57.99999999999999
244800,58,57.99999999999999
248400,58,57.99999999999999
252000,58,57.99999999999999
255600,58,57.99999999999999
259200,58,57.99999999999999
262800,58,57.99999999999999
266400,58,57.99999999999999
270000,59,59.0
273600,59,59.0
277200,59,59.0
280800,59,59.0
284400,60,60.0
288000,60,60.0
291600,60,60.0
295200,60,60.0
298800,61,61.0
302400,62,62.0
306000,62,62.0
309600,62,62.0
313200,62,62.0
316800,63,63.0
320400,64,64.0
324000,64,64.0
327600,64,64.0
331200,64,64.0
334800,64,64.0
338400,64,64.0
342000,65,65.0
345600,65,65.0
349200,66,66.0
352800,66,66.0
356400,66,66.0
360000,66,66.0
363600,66,66.0
367200,66,66.0
370800,68,68.0
374400,68,68.0
378000,68,68.0
381600,68,68.0
385200,68,68.0
388800,68,68.0
392400,68,68.0
396000,68,68.0
399600,68,68.0
403200,68,68.0
406800,68,68.0
410400,68,68.0
414000,68,68.0
417600,68,68.0
421200,68,68.0
424800,68,68.0
428400,68,68.0
432000,69,69.0
435600,71,71.0
439200,73,73.0
442800,73,73.0
446400,73,73.0
450000,73,73.0
453600,73,73.0
457200,73,73.0
460800,73,73.0
464400,73,73.0
468000,73,73.0
471600,73,73.0
475200,73,73.0
478800,73,73.0
482400,73,73.0
486000,73,73.0
489600,74,74.0
493200,74,74.0
496800,74,74.0
500400,74,74.0
504000,74,74.0
507600,74,74.0
511200,75,75.0
514800,75,75.0
518400,75,75.0
522000,77,77.0
525600,77,77.0
529200,77,77.0
532800,77,77.0
536400,77,77.0
540000,77,77.0
543600,77,77.0
547200,77,77.0
550800,77,77.0
554400,77,77.0
558000,77,77.0
561600,77,77.0
565200,77,77.0
568800,77,77.0
572400,77,77.0
576000,77,77.0
579600,77,77.0
583200,77,77.0
586800,77,77.0
590400,77,77.0
594000,80,80.0
597600,80,80.0
601200,80,80.0
604800,80,80.0
604800,80,80.0
