time,numberOfDiscoveredNodes,percentage
3600,5,5.0
7200,5,5.0
10800,5,5.0
14400,5,5.0
18000,6,6.0
21600,6,6.0
25200,6,6.0
28800,9,9.0
32400,12,12.0
36000,16,16.0
39600,16,16.0
43200,19,19.0
46800,19,19.0
50400,19,19.0
54000,19,19.0
57600,19,19.0
61200,19,19.0
64800,19,19.0
68400,20,20.0
72000,22,22.0
75600,22,22.0
79200,23,23.0
82800,25,25.0
86400,25,25.0
90000,27,27.0
93600,27,27.0
97200,32,32.0
100800,32,32.0
104400,32,32.0
108000,32,32.0
111600,32,32.0
115200,32,32.0
118800,32,32.0
122400,32,32.0
126000,32,32.0
129600,32,32.0
133200,32,32.0
136800,32,32.0
140400,32,32.0
144000,32,32.0
147600,34,34.0
151200,34,34.0
154800,35,35.0
158400,35,35.0
162000,35,35.0
165600,35,35.0
169200,35,35.0
172800,35,35.0
176400,35,35.0
180000,35,35.0
183600,35,35.0
187200,35,35.0
190800,35,35.0
194400,35,35.0
198000,35,35.0
201600,40,40.0
205200,44,44.0
208800,44,44.0
212400,44,44.0
216000,44,44.0
219600,44,44.0
223200,44,44.0
226800,51,51.0
230400,57,56.99999999999999
234000,57,56.99999999999999
237600,58,57.99999999999999
241200,58,57.99999999999999
244800,58,57.99999999999999
248400,58,57.99999999999999
252000,58,57.99999999999999
255600,58,57.99999999999999
259200,58,57.99999999999999
262800,58,57.99999999999999
266400,58,57.99999999999999
270000,58,57.99999999999999
273600,58,57.99999999999999
277200,58,57.99999999999999
280800,58,57.99999999999999
284400,58,57.99999999999999
288000,58,57.99999999999999
291600,58,57.99999999999999
295200,58,57.99999999999999
298800,60,60.0
302400,60,60.0
306000,60,60.0
309600,60,60.0
313200,60,60.0
316800,60,60.0
320400,60,60.0
324000,60,60.0
327600,60,60.0
331200,60,60.0
334800,60,60.0
338400,60,60.0
342000,60,60.0
345600,60,60.0
349200,60,60.0
352800,60,60.0
356400,60,60.0
360000,60,60.0
363600,61,61.0
367200,63,63.0
370800,65,65.0
374400,65,65.0
378000,66,66.0
381600,66,66.0
385200,66,66.0
388800,66,66.0
392400,66,66.0
396000,66,66.0
399600,66,66.0
403200,66,66.0
406800,66,66.0
410400,66,66.0
414000,66,66.0
417600,66,66.0
421200,66,66.0
424800,66,66.0
428400,66,66.0
432000,66,66.0
435600,66,66.0
439200,66,66.0
442800,66,66.0
446400,66,66.0
450000,66,66.0
453600,66,66.0
457200,66,66.0
460800,66,66.0
464400,66,66.0
468000,66,66.0
471600,66,66.0
475200,66,66.0
478800,66,66.0
482400,66,66.0
486000,66,66.0
489600,66,66.0
493200,66,66.0
496800,66,66.0
500400,66,66.0
504000,66,66.0
507600,66,66.0
511200,66,66.0
514800,67,67.0
518400,67,67.0
522000,67,67.0
525600,67,67.0
529200,67,67.0
532800,67,67.0
536400,67,67.0
540000,67,67.0
543600,67,67.0
547200,67,67.0
550800,67,67.0
554400,67,67.0
558000,67,67.0
561600,67,67.0
565200,67,67.0
568800,67,67.0
572400,67,67.0
576000,67,67.0
579600,67,67.0
583200,67,67.0
586800,67,67.0
590400,67,67.0
594000,67,67.0
597600,67,67.0
601200,67,67.0
604800,67,67.0
604800,67,67.0
